onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
48.0	3.0	VGSCUE	02VA	n/a	n/a	n/a	n/a
51.0	1.5	VGSTARG	02VA	7	1	CORRECT	0.317
58.5	3.0	VGSCUE	02VA	n/a	n/a	n/a	n/a
61.5	1.5	VGSTARG	02VA	214	1	CORRECT	0.217
72.0	3.0	VGSCUE	02VA	n/a	n/a	n/a	n/a
75.0	1.5	VGSTARG	02VA	108	1	CORRECT	0.483
82.5	3.0	VGSCUE	02VA	n/a	n/a	n/a	n/a
85.5	1.5	VGSTARG	02VA	108	1	CORRECT	0.3
90.0	3.0	VGSCUE	02VA	n/a	n/a	n/a	n/a
93.0	1.5	VGSTARG	02VA	532	1	CORRECT	0.333
97.5	3.0	VGSCUE	02VA	n/a	n/a	n/a	n/a
100.5	1.5	VGSTARG	02VA	633	1	CORRECT	0.367
105.0	3.0	VGSCUE	02VA	n/a	n/a	n/a	n/a
108.0	1.5	VGSTARG	02VA	7	1	CORRECT	0.283
112.5	3.0	VGSCUE	02VA	n/a	n/a	n/a	n/a
115.5	1.5	VGSTARG	02VA	532	1	CORRECT	0.35
120.0	3.0	VGSCUE	02VA	n/a	n/a	n/a	n/a
123.0	1.5	VGSTARG	02VA	426	1	CORRECT	0.283
127.5	3.0	VGSCUE	02VA	n/a	n/a	n/a	n/a
130.5	1.5	VGSTARG	02VA	633	1	CORRECT	0.367
141.0	3.0	VGSCUE	02VA	n/a	n/a	n/a	n/a
144.0	1.5	VGSTARG	02VA	426	1	CORRECT	0.417
148.5	3.0	VGSCUE	02VA	n/a	n/a	n/a	n/a
151.5	1.5	VGSTARG	02VA	214	1	CORRECT	0.333
213.0	3.0	ANTICUE	02VA	n/a	n/a	n/a	n/a
216.0	1.5	ANTITARG	02VA	532	1	CORRECT	0.383
223.5	3.0	ANTICUE	02VA	n/a	n/a	n/a	n/a
226.5	1.5	ANTITARG	02VA	108	2	ERROR_CORRECTED	0.333
231.0	3.0	ANTICUE	02VA	n/a	n/a	n/a	n/a
234.0	1.5	ANTITARG	02VA	426	1	CORRECT	0.417
244.5	3.0	ANTICUE	02VA	n/a	n/a	n/a	n/a
247.5	1.5	ANTITARG	02VA	214	1	CORRECT	0.45
252.0	3.0	ANTICUE	02VA	n/a	n/a	n/a	n/a
255.0	1.5	ANTITARG	02VA	108	2	ERROR_CORRECTED	0.333
259.5	3.0	ANTICUE	02VA	n/a	n/a	n/a	n/a
262.5	1.5	ANTITARG	02VA	426	-1	DROP	-0.001
267.0	3.0	ANTICUE	02VA	n/a	n/a	n/a	n/a
270.0	1.5	ANTITARG	02VA	7	2	ERROR_CORRECTED	0.3
277.5	3.0	ANTICUE	02VA	n/a	n/a	n/a	n/a
280.5	1.5	ANTITARG	02VA	633	-1	DROP	-0.001
285.0	3.0	ANTICUE	02VA	n/a	n/a	n/a	n/a
288.0	1.5	ANTITARG	02VA	532	-1	DROP	-0.001
292.5	3.0	ANTICUE	02VA	n/a	n/a	n/a	n/a
295.5	1.5	ANTITARG	02VA	7	1	CORRECT	0.367
306.0	3.0	ANTICUE	02VA	n/a	n/a	n/a	n/a
309.0	1.5	ANTITARG	02VA	633	1	CORRECT	0.45
313.5	3.0	ANTICUE	02VA	n/a	n/a	n/a	n/a
316.5	1.5	ANTITARG	02VA	214	1	CORRECT	0.433
