onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
42.0	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
45.0	1.5	ANTITARG	04AV	426	1	CORRECT	0.483
55.5	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
58.5	1.5	ANTITARG	04AV	7	1	CORRECT	0.483
63.0	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
66.0	1.5	ANTITARG	04AV	633	1	CORRECT	0.117
70.5	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
73.5	1.5	ANTITARG	04AV	7	2	ERROR_CORRECTED	0.4
84.0	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
87.0	1.5	ANTITARG	04AV	214	1	CORRECT	0.45
91.5	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
94.5	1.5	ANTITARG	04AV	108	2	ERROR_CORRECTED	0.45
102.0	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
105.0	1.5	ANTITARG	04AV	532	2	ERROR_CORRECTED	0.3
109.5	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
112.5	1.5	ANTITARG	04AV	633	1	CORRECT	0.467
120.0	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
123.0	1.5	ANTITARG	04AV	532	2	ERROR_CORRECTED	0.35
127.5	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
130.5	1.5	ANTITARG	04AV	426	1	CORRECT	0.433
135.0	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
138.0	1.5	ANTITARG	04AV	214	1	CORRECT	0.617
142.5	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
145.5	1.5	ANTITARG	04AV	108	1	CORRECT	0.583
213.0	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
216.0	1.5	VGSTARG	04AV	633	1	CORRECT	0.45
223.5	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
226.5	1.5	VGSTARG	04AV	108	1	CORRECT	0.333
231.0	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
234.0	1.5	VGSTARG	04AV	633	1	CORRECT	0.233
238.5	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
241.5	1.5	VGSTARG	04AV	108	1	CORRECT	0.533
249.0	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
252.0	1.5	VGSTARG	04AV	532	1	CORRECT	0.45
256.5	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
259.5	1.5	VGSTARG	04AV	532	1	CORRECT	0.467
264.0	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
267.0	1.5	VGSTARG	04AV	7	1	CORRECT	0.333
271.5	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
274.5	1.5	VGSTARG	04AV	214	1	CORRECT	0.333
285.0	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
288.0	1.5	VGSTARG	04AV	426	-1	DROP	-0.001
292.5	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
295.5	1.5	VGSTARG	04AV	426	1	CORRECT	0.383
300.0	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
303.0	1.5	VGSTARG	04AV	7	1	CORRECT	0.433
313.5	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
316.5	1.5	VGSTARG	04AV	214	1	CORRECT	0.317
