onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
40.5	3.0	VGSCUE	10VA	n/a	n/a	n/a	n/a
43.5	1.5	VGSTARG	10VA	7	1	CORRECT	0.6
48.0	3.0	VGSCUE	10VA	n/a	n/a	n/a	n/a
51.0	1.5	VGSTARG	10VA	532	1	CORRECT	0.65
61.5	3.0	VGSCUE	10VA	n/a	n/a	n/a	n/a
64.5	1.5	VGSTARG	10VA	426	1	CORRECT	0.35
69.0	3.0	VGSCUE	10VA	n/a	n/a	n/a	n/a
72.0	1.5	VGSTARG	10VA	214	1	CORRECT	0.4
76.5	3.0	VGSCUE	10VA	n/a	n/a	n/a	n/a
79.5	1.5	VGSTARG	10VA	7	1	CORRECT	0.467
84.0	3.0	VGSCUE	10VA	n/a	n/a	n/a	n/a
87.0	1.5	VGSTARG	10VA	108	1	CORRECT	0.35
94.5	3.0	VGSCUE	10VA	n/a	n/a	n/a	n/a
97.5	1.5	VGSTARG	10VA	532	1	CORRECT	0.45
102.0	3.0	VGSCUE	10VA	n/a	n/a	n/a	n/a
105.0	1.5	VGSTARG	10VA	426	1	CORRECT	0.367
115.5	3.0	VGSCUE	10VA	n/a	n/a	n/a	n/a
118.5	1.5	VGSTARG	10VA	108	1	CORRECT	0.367
123.0	3.0	VGSCUE	10VA	n/a	n/a	n/a	n/a
126.0	1.5	VGSTARG	10VA	214	1	CORRECT	0.383
130.5	3.0	VGSCUE	10VA	n/a	n/a	n/a	n/a
133.5	1.5	VGSTARG	10VA	633	1	CORRECT	0.383
141.0	3.0	VGSCUE	10VA	n/a	n/a	n/a	n/a
144.0	1.5	VGSTARG	10VA	633	1	CORRECT	0.367
214.5	3.0	ANTICUE	10VA	n/a	n/a	n/a	n/a
217.5	1.5	ANTITARG	10VA	7	2	ERROR_CORRECTED	0.383
225.0	3.0	ANTICUE	10VA	n/a	n/a	n/a	n/a
228.0	1.5	ANTITARG	10VA	214	1	CORRECT	0.583
232.5	3.0	ANTICUE	10VA	n/a	n/a	n/a	n/a
235.5	1.5	ANTITARG	10VA	7	1	CORRECT	0.567
240.0	3.0	ANTICUE	10VA	n/a	n/a	n/a	n/a
243.0	1.5	ANTITARG	10VA	426	2	ERROR_CORRECTED	0.383
253.5	3.0	ANTICUE	10VA	n/a	n/a	n/a	n/a
256.5	1.5	ANTITARG	10VA	214	1	CORRECT	0.583
261.0	3.0	ANTICUE	10VA	n/a	n/a	n/a	n/a
264.0	1.5	ANTITARG	10VA	108	2	ERROR_CORRECTED	0.35
274.5	3.0	ANTICUE	10VA	n/a	n/a	n/a	n/a
277.5	1.5	ANTITARG	10VA	426	2	ERROR_CORRECTED	0.417
282.0	3.0	ANTICUE	10VA	n/a	n/a	n/a	n/a
285.0	1.5	ANTITARG	10VA	532	2	ERROR_CORRECTED	0.367
292.5	3.0	ANTICUE	10VA	n/a	n/a	n/a	n/a
295.5	1.5	ANTITARG	10VA	108	2	ERROR_CORRECTED	0.417
300.0	3.0	ANTICUE	10VA	n/a	n/a	n/a	n/a
303.0	1.5	ANTITARG	10VA	633	2	ERROR_CORRECTED	0.383
307.5	3.0	ANTICUE	10VA	n/a	n/a	n/a	n/a
310.5	1.5	ANTITARG	10VA	633	1	CORRECT	0.933
318.0	3.0	ANTICUE	10VA	n/a	n/a	n/a	n/a
321.0	1.5	ANTITARG	10VA	532	1	CORRECT	0.433
