onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
42.0	3.0	VGSCUE	03VA	n/a	n/a	n/a	n/a
45.0	1.5	VGSTARG	03VA	426	-1	DROP	-0.001
52.5	3.0	VGSCUE	03VA	n/a	n/a	n/a	n/a
55.5	1.5	VGSTARG	03VA	7	-1	DROP	-0.001
60.0	3.0	VGSCUE	03VA	n/a	n/a	n/a	n/a
63.0	1.5	VGSTARG	03VA	633	1	CORRECT	0.433
67.5	3.0	VGSCUE	03VA	n/a	n/a	n/a	n/a
70.5	1.5	VGSTARG	03VA	108	-1	DROP	-0.001
78.0	3.0	VGSCUE	03VA	n/a	n/a	n/a	n/a
81.0	1.5	VGSTARG	03VA	633	1	CORRECT	0.433
91.5	3.0	VGSCUE	03VA	n/a	n/a	n/a	n/a
94.5	1.5	VGSTARG	03VA	108	1	CORRECT	0.333
99.0	3.0	VGSCUE	03VA	n/a	n/a	n/a	n/a
102.0	1.5	VGSTARG	03VA	532	1	CORRECT	0.25
106.5	3.0	VGSCUE	03VA	n/a	n/a	n/a	n/a
109.5	1.5	VGSTARG	03VA	426	-1	DROP	-0.001
114.0	3.0	VGSCUE	03VA	n/a	n/a	n/a	n/a
117.0	1.5	VGSTARG	03VA	7	-1	DROP	-0.001
121.5	3.0	VGSCUE	03VA	n/a	n/a	n/a	n/a
124.5	1.5	VGSTARG	03VA	214	1	CORRECT	0.133
135.0	3.0	VGSCUE	03VA	n/a	n/a	n/a	n/a
138.0	1.5	VGSTARG	03VA	214	-1	DROP	-0.001
142.5	3.0	VGSCUE	03VA	n/a	n/a	n/a	n/a
145.5	1.5	VGSTARG	03VA	532	1	CORRECT	0.483
210.0	3.0	ANTICUE	03VA	n/a	n/a	n/a	n/a
213.0	1.5	ANTITARG	03VA	214	1	CORRECT	0.433
217.5	3.0	ANTICUE	03VA	n/a	n/a	n/a	n/a
220.5	1.5	ANTITARG	03VA	426	1	CORRECT	0.517
225.0	3.0	ANTICUE	03VA	n/a	n/a	n/a	n/a
228.0	1.5	ANTITARG	03VA	532	-1	DROP	-0.001
232.5	3.0	ANTICUE	03VA	n/a	n/a	n/a	n/a
235.5	1.5	ANTITARG	03VA	7	-1	DROP	-0.001
240.0	3.0	ANTICUE	03VA	n/a	n/a	n/a	n/a
243.0	1.5	ANTITARG	03VA	633	-1	DROP	-0.001
250.5	3.0	ANTICUE	03VA	n/a	n/a	n/a	n/a
253.5	1.5	ANTITARG	03VA	633	-1	DROP	-0.001
258.0	3.0	ANTICUE	03VA	n/a	n/a	n/a	n/a
261.0	1.5	ANTITARG	03VA	214	1	CORRECT	0.45
265.5	3.0	ANTICUE	03VA	n/a	n/a	n/a	n/a
268.5	1.5	ANTITARG	03VA	108	-1	DROP	-0.001
279.0	3.0	ANTICUE	03VA	n/a	n/a	n/a	n/a
282.0	1.5	ANTITARG	03VA	532	-1	DROP	-0.001
286.5	3.0	ANTICUE	03VA	n/a	n/a	n/a	n/a
289.5	1.5	ANTITARG	03VA	426	-1	DROP	-0.001
297.0	3.0	ANTICUE	03VA	n/a	n/a	n/a	n/a
300.0	1.5	ANTITARG	03VA	7	1	CORRECT	0.35
304.5	3.0	ANTICUE	03VA	n/a	n/a	n/a	n/a
307.5	1.5	ANTITARG	03VA	108	1	CORRECT	0.467
