onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
46.5	3.0	ANTICUE	08AV	n/a	n/a	n/a	n/a
49.5	1.5	ANTITARG	08AV	426	1	CORRECT	0.833
57.0	3.0	ANTICUE	08AV	n/a	n/a	n/a	n/a
60.0	1.5	ANTITARG	08AV	7	1	CORRECT	0.45
70.5	3.0	ANTICUE	08AV	n/a	n/a	n/a	n/a
73.5	1.5	ANTITARG	08AV	532	2	ERROR_CORRECTED	0.417
78.0	3.0	ANTICUE	08AV	n/a	n/a	n/a	n/a
81.0	1.5	ANTITARG	08AV	633	2	ERROR_CORRECTED	0.35
85.5	3.0	ANTICUE	08AV	n/a	n/a	n/a	n/a
88.5	1.5	ANTITARG	08AV	7	1	CORRECT	0.417
93.0	3.0	ANTICUE	08AV	n/a	n/a	n/a	n/a
96.0	1.5	ANTITARG	08AV	108	-1	DROP	-0.001
100.5	3.0	ANTICUE	08AV	n/a	n/a	n/a	n/a
103.5	1.5	ANTITARG	08AV	426	2	ERROR_CORRECTED	0.367
114.0	3.0	ANTICUE	08AV	n/a	n/a	n/a	n/a
117.0	1.5	ANTITARG	08AV	214	1	CORRECT	0.833
121.5	3.0	ANTICUE	08AV	n/a	n/a	n/a	n/a
124.5	1.5	ANTITARG	08AV	214	-1	DROP	-0.001
132.0	3.0	ANTICUE	08AV	n/a	n/a	n/a	n/a
135.0	1.5	ANTITARG	08AV	108	-1	DROP	-0.001
139.5	3.0	ANTICUE	08AV	n/a	n/a	n/a	n/a
142.5	1.5	ANTITARG	08AV	532	2	ERROR_CORRECTED	0.467
150.0	3.0	ANTICUE	08AV	n/a	n/a	n/a	n/a
153.0	1.5	ANTITARG	08AV	633	2	ERROR_CORRECTED	0.4
217.5	3.0	VGSCUE	08AV	n/a	n/a	n/a	n/a
220.5	1.5	VGSTARG	08AV	633	1	CORRECT	0.383
231.0	3.0	VGSCUE	08AV	n/a	n/a	n/a	n/a
234.0	1.5	VGSTARG	08AV	214	1	CORRECT	0.3
244.5	3.0	VGSCUE	08AV	n/a	n/a	n/a	n/a
247.5	1.5	VGSTARG	08AV	7	-1	DROP	-0.001
252.0	3.0	VGSCUE	08AV	n/a	n/a	n/a	n/a
255.0	1.5	VGSTARG	08AV	532	1	CORRECT	0.383
262.5	3.0	VGSCUE	08AV	n/a	n/a	n/a	n/a
265.5	1.5	VGSTARG	08AV	633	-1	DROP	-0.001
270.0	3.0	VGSCUE	08AV	n/a	n/a	n/a	n/a
273.0	1.5	VGSTARG	08AV	426	1	CORRECT	0.35
277.5	3.0	VGSCUE	08AV	n/a	n/a	n/a	n/a
280.5	1.5	VGSTARG	08AV	426	1	CORRECT	0.167
285.0	3.0	VGSCUE	08AV	n/a	n/a	n/a	n/a
288.0	1.5	VGSTARG	08AV	7	-1	DROP	-0.001
292.5	3.0	VGSCUE	08AV	n/a	n/a	n/a	n/a
295.5	1.5	VGSTARG	08AV	108	-1	DROP	-0.001
303.0	3.0	VGSCUE	08AV	n/a	n/a	n/a	n/a
306.0	1.5	VGSTARG	08AV	108	-1	DROP	-0.001
310.5	3.0	VGSCUE	08AV	n/a	n/a	n/a	n/a
313.5	1.5	VGSTARG	08AV	214	1	CORRECT	0.417
318.0	3.0	VGSCUE	08AV	n/a	n/a	n/a	n/a
321.0	1.5	VGSTARG	08AV	532	1	CORRECT	0.383
