onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
43.5	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
46.5	1.5	VGSTARG	12VA	214	1	CORRECT	0.333
51.0	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
54.0	1.5	VGSTARG	12VA	532	1	CORRECT	0.333
58.5	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
61.5	1.5	VGSTARG	12VA	633	1	CORRECT	0.35
69.0	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
72.0	1.5	VGSTARG	12VA	7	1	CORRECT	0.417
76.5	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
79.5	1.5	VGSTARG	12VA	7	1	CORRECT	0.35
84.0	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
87.0	1.5	VGSTARG	12VA	426	1	CORRECT	0.35
94.5	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
97.5	1.5	VGSTARG	12VA	532	1	CORRECT	0.383
105.0	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
108.0	1.5	VGSTARG	12VA	108	1	CORRECT	0.4
112.5	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
115.5	1.5	VGSTARG	12VA	633	1	CORRECT	0.45
126.0	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
129.0	1.5	VGSTARG	12VA	108	1	CORRECT	0.3
133.5	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
136.5	1.5	VGSTARG	12VA	426	1	CORRECT	0.35
141.0	3.0	VGSCUE	12VA	n/a	n/a	n/a	n/a
144.0	1.5	VGSTARG	12VA	214	1	CORRECT	0.233
213.0	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
216.0	1.5	ANTITARG	12VA	426	1	CORRECT	0.617
220.5	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
223.5	1.5	ANTITARG	12VA	426	1	CORRECT	0.517
234.0	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
237.0	1.5	ANTITARG	12VA	108	1	CORRECT	0.55
247.5	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
250.5	1.5	ANTITARG	12VA	532	1	CORRECT	0.217
255.0	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
258.0	1.5	ANTITARG	12VA	7	1	CORRECT	0.583
262.5	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
265.5	1.5	ANTITARG	12VA	633	2	ERROR_CORRECTED	0.5
270.0	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
273.0	1.5	ANTITARG	12VA	214	1	CORRECT	0.583
277.5	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
280.5	1.5	ANTITARG	12VA	633	-1	DROP	-0.001
288.0	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
291.0	1.5	ANTITARG	12VA	532	1	CORRECT	0.517
295.5	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
298.5	1.5	ANTITARG	12VA	108	2	ERROR_CORRECTED	0.35
306.0	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
309.0	1.5	ANTITARG	12VA	214	1	CORRECT	0.65
313.5	3.0	ANTICUE	12VA	n/a	n/a	n/a	n/a
316.5	1.5	ANTITARG	12VA	7	1	CORRECT	0.533
