onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
46.5	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
49.5	1.5	VGSTARG	01VA	426	1	CORRECT	0.417
54.0	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
57.0	1.5	VGSTARG	01VA	532	1	CORRECT	0.333
61.5	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
64.5	1.5	VGSTARG	01VA	214	1	CORRECT	0.3
72.0	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
75.0	1.5	VGSTARG	01VA	7	1	CORRECT	0.35
79.5	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
82.5	1.5	VGSTARG	01VA	7	1	CORRECT	0.333
87.0	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
90.0	1.5	VGSTARG	01VA	108	1	CORRECT	0.333
94.5	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
97.5	1.5	VGSTARG	01VA	214	1	CORRECT	0.317
105.0	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
108.0	1.5	VGSTARG	01VA	633	1	CORRECT	0.35
118.5	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
121.5	1.5	VGSTARG	01VA	108	1	CORRECT	0.4
126.0	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
129.0	1.5	VGSTARG	01VA	633	1	CORRECT	0.3
139.5	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
142.5	1.5	VGSTARG	01VA	426	1	CORRECT	0.317
147.0	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
150.0	1.5	VGSTARG	01VA	532	1	CORRECT	0.367
211.5	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
214.5	1.5	ANTITARG	01VA	7	1	CORRECT	0.5
222.0	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
225.0	1.5	ANTITARG	01VA	426	1	CORRECT	0.533
229.5	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
232.5	1.5	ANTITARG	01VA	214	1	CORRECT	0.867
237.0	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
240.0	1.5	ANTITARG	01VA	633	1	CORRECT	0.55
244.5	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
247.5	1.5	ANTITARG	01VA	532	1	CORRECT	0.417
252.0	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
255.0	1.5	ANTITARG	01VA	426	1	CORRECT	0.467
265.5	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
268.5	1.5	ANTITARG	01VA	214	1	CORRECT	0.467
279.0	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
282.0	1.5	ANTITARG	01VA	633	1	CORRECT	0.667
286.5	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
289.5	1.5	ANTITARG	01VA	7	2	ERROR_CORRECTED	0.4
297.0	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
300.0	1.5	ANTITARG	01VA	532	2	ERROR_CORRECTED	0.383
304.5	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
307.5	1.5	ANTITARG	01VA	108	2	ERROR_CORRECTED	0.367
315.0	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
318.0	1.5	ANTITARG	01VA	108	2	ERROR_CORRECTED	0.3
