onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
40.5	3.0	VGSCUE	09VA	n/a	n/a	n/a	n/a
43.5	1.5	VGSTARG	09VA	633	-1	DROP	-0.001
51.0	3.0	VGSCUE	09VA	n/a	n/a	n/a	n/a
54.0	1.5	VGSTARG	09VA	532	1	CORRECT	0.267
58.5	3.0	VGSCUE	09VA	n/a	n/a	n/a	n/a
61.5	1.5	VGSTARG	09VA	214	1	CORRECT	0.383
72.0	3.0	VGSCUE	09VA	n/a	n/a	n/a	n/a
75.0	1.5	VGSTARG	09VA	426	1	CORRECT	0.283
79.5	3.0	VGSCUE	09VA	n/a	n/a	n/a	n/a
82.5	1.5	VGSTARG	09VA	426	1	CORRECT	0.3
87.0	3.0	VGSCUE	09VA	n/a	n/a	n/a	n/a
90.0	1.5	VGSTARG	09VA	214	1	CORRECT	0.317
97.5	3.0	VGSCUE	09VA	n/a	n/a	n/a	n/a
100.5	1.5	VGSTARG	09VA	7	1	CORRECT	0.367
111.0	3.0	VGSCUE	09VA	n/a	n/a	n/a	n/a
114.0	1.5	VGSTARG	09VA	7	1	CORRECT	0.333
118.5	3.0	VGSCUE	09VA	n/a	n/a	n/a	n/a
121.5	1.5	VGSTARG	09VA	108	1	CORRECT	0.383
126.0	3.0	VGSCUE	09VA	n/a	n/a	n/a	n/a
129.0	1.5	VGSTARG	09VA	633	1	CORRECT	0.35
133.5	3.0	VGSCUE	09VA	n/a	n/a	n/a	n/a
136.5	1.5	VGSTARG	09VA	532	1	CORRECT	0.333
144.0	3.0	VGSCUE	09VA	n/a	n/a	n/a	n/a
147.0	1.5	VGSTARG	09VA	108	1	CORRECT	0.383
214.5	3.0	ANTICUE	09VA	n/a	n/a	n/a	n/a
217.5	1.5	ANTITARG	09VA	426	1	CORRECT	0.367
222.0	3.0	ANTICUE	09VA	n/a	n/a	n/a	n/a
225.0	1.5	ANTITARG	09VA	532	1	CORRECT	0.367
235.5	3.0	ANTICUE	09VA	n/a	n/a	n/a	n/a
238.5	1.5	ANTITARG	09VA	532	1	CORRECT	0.433
243.0	3.0	ANTICUE	09VA	n/a	n/a	n/a	n/a
246.0	1.5	ANTITARG	09VA	214	2	ERROR_CORRECTED	0.383
253.5	3.0	ANTICUE	09VA	n/a	n/a	n/a	n/a
256.5	1.5	ANTITARG	09VA	7	1	CORRECT	0.4
261.0	3.0	ANTICUE	09VA	n/a	n/a	n/a	n/a
264.0	1.5	ANTITARG	09VA	108	1	CORRECT	0.4
271.5	3.0	ANTICUE	09VA	n/a	n/a	n/a	n/a
274.5	1.5	ANTITARG	09VA	214	1	CORRECT	0.367
279.0	3.0	ANTICUE	09VA	n/a	n/a	n/a	n/a
282.0	1.5	ANTITARG	09VA	633	1	CORRECT	0.45
286.5	3.0	ANTICUE	09VA	n/a	n/a	n/a	n/a
289.5	1.5	ANTITARG	09VA	7	1	CORRECT	0.517
297.0	3.0	ANTICUE	09VA	n/a	n/a	n/a	n/a
300.0	1.5	ANTITARG	09VA	633	1	CORRECT	0.4
304.5	3.0	ANTICUE	09VA	n/a	n/a	n/a	n/a
307.5	1.5	ANTITARG	09VA	426	1	CORRECT	0.483
312.0	3.0	ANTICUE	09VA	n/a	n/a	n/a	n/a
315.0	1.5	ANTITARG	09VA	108	1	CORRECT	0.4
