onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
40.5	3.0	ANTICUE	07AV	n/a	n/a	n/a	n/a
43.5	1.5	ANTITARG	07AV	633	-1	DROP	-0.001
48.0	3.0	ANTICUE	07AV	n/a	n/a	n/a	n/a
51.0	1.5	ANTITARG	07AV	7	1	CORRECT	0.317
55.5	3.0	ANTICUE	07AV	n/a	n/a	n/a	n/a
58.5	1.5	ANTITARG	07AV	532	-1	DROP	-0.001
66.0	3.0	ANTICUE	07AV	n/a	n/a	n/a	n/a
69.0	1.5	ANTITARG	07AV	532	2	ERROR_CORRECTED	0.333
73.5	3.0	ANTICUE	07AV	n/a	n/a	n/a	n/a
76.5	1.5	ANTITARG	07AV	426	1	CORRECT	0.367
87.0	3.0	ANTICUE	07AV	n/a	n/a	n/a	n/a
90.0	1.5	ANTITARG	07AV	633	2	ERROR_CORRECTED	0.283
97.5	3.0	ANTICUE	07AV	n/a	n/a	n/a	n/a
100.5	1.5	ANTITARG	07AV	7	1	CORRECT	0.367
105.0	3.0	ANTICUE	07AV	n/a	n/a	n/a	n/a
108.0	1.5	ANTITARG	07AV	108	1	CORRECT	0.4
112.5	3.0	ANTICUE	07AV	n/a	n/a	n/a	n/a
115.5	1.5	ANTITARG	07AV	214	1	CORRECT	0.483
126.0	3.0	ANTICUE	07AV	n/a	n/a	n/a	n/a
129.0	1.5	ANTITARG	07AV	426	-1	DROP	-0.001
133.5	3.0	ANTICUE	07AV	n/a	n/a	n/a	n/a
136.5	1.5	ANTITARG	07AV	108	1	CORRECT	0.4
141.0	3.0	ANTICUE	07AV	n/a	n/a	n/a	n/a
144.0	1.5	ANTITARG	07AV	214	1	CORRECT	0.317
213.0	3.0	VGSCUE	07AV	n/a	n/a	n/a	n/a
216.0	1.5	VGSTARG	07AV	108	1	CORRECT	0.417
226.5	3.0	VGSCUE	07AV	n/a	n/a	n/a	n/a
229.5	1.5	VGSTARG	07AV	7	1	CORRECT	0.4
234.0	3.0	VGSCUE	07AV	n/a	n/a	n/a	n/a
237.0	1.5	VGSTARG	07AV	426	1	CORRECT	0.283
241.5	3.0	VGSCUE	07AV	n/a	n/a	n/a	n/a
244.5	1.5	VGSTARG	07AV	214	1	CORRECT	0.383
249.0	3.0	VGSCUE	07AV	n/a	n/a	n/a	n/a
252.0	1.5	VGSTARG	07AV	214	1	CORRECT	0.383
256.5	3.0	VGSCUE	07AV	n/a	n/a	n/a	n/a
259.5	1.5	VGSTARG	07AV	7	1	CORRECT	0.367
270.0	3.0	VGSCUE	07AV	n/a	n/a	n/a	n/a
273.0	1.5	VGSTARG	07AV	633	1	CORRECT	0.2
277.5	3.0	VGSCUE	07AV	n/a	n/a	n/a	n/a
280.5	1.5	VGSTARG	07AV	633	1	CORRECT	0.3
285.0	3.0	VGSCUE	07AV	n/a	n/a	n/a	n/a
288.0	1.5	VGSTARG	07AV	108	1	CORRECT	0.433
292.5	3.0	VGSCUE	07AV	n/a	n/a	n/a	n/a
295.5	1.5	VGSTARG	07AV	532	1	CORRECT	0.283
303.0	3.0	VGSCUE	07AV	n/a	n/a	n/a	n/a
306.0	1.5	VGSTARG	07AV	532	1	CORRECT	0.45
313.5	3.0	VGSCUE	07AV	n/a	n/a	n/a	n/a
316.5	1.5	VGSTARG	07AV	426	1	CORRECT	0.3
