onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
42.0	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
45.0	1.5	ANTITARG	04AV	426	1	CORRECT	0.467
55.5	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
58.5	1.5	ANTITARG	04AV	7	1	CORRECT	0.433
63.0	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
66.0	1.5	ANTITARG	04AV	633	1	CORRECT	0.583
70.5	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
73.5	1.5	ANTITARG	04AV	7	1	CORRECT	0.45
84.0	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
87.0	1.5	ANTITARG	04AV	214	1	CORRECT	0.467
91.5	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
94.5	1.5	ANTITARG	04AV	108	1	CORRECT	0.367
102.0	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
105.0	1.5	ANTITARG	04AV	532	2	ERROR_CORRECTED	0.35
109.5	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
112.5	1.5	ANTITARG	04AV	633	1	CORRECT	0.483
120.0	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
123.0	1.5	ANTITARG	04AV	532	1	CORRECT	0.4
127.5	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
130.5	1.5	ANTITARG	04AV	426	1	CORRECT	0.45
135.0	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
138.0	1.5	ANTITARG	04AV	214	2	ERROR_CORRECTED	0.35
142.5	3.0	ANTICUE	04AV	n/a	n/a	n/a	n/a
145.5	1.5	ANTITARG	04AV	108	1	CORRECT	0.417
213.0	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
216.0	1.5	VGSTARG	04AV	633	1	CORRECT	0.383
223.5	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
226.5	1.5	VGSTARG	04AV	108	1	CORRECT	0.45
231.0	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
234.0	1.5	VGSTARG	04AV	633	1	CORRECT	0.433
238.5	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
241.5	1.5	VGSTARG	04AV	108	1	CORRECT	0.4
249.0	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
252.0	1.5	VGSTARG	04AV	532	-1	DROP	-0.001
256.5	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
259.5	1.5	VGSTARG	04AV	532	-1	DROP	-0.001
264.0	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
267.0	1.5	VGSTARG	04AV	7	1	CORRECT	0.35
271.5	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
274.5	1.5	VGSTARG	04AV	214	1	CORRECT	0.45
285.0	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
288.0	1.5	VGSTARG	04AV	426	1	CORRECT	0.4
292.5	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
295.5	1.5	VGSTARG	04AV	426	1	CORRECT	0.25
300.0	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
303.0	1.5	VGSTARG	04AV	7	1	CORRECT	0.317
313.5	3.0	VGSCUE	04AV	n/a	n/a	n/a	n/a
316.5	1.5	VGSTARG	04AV	214	1	CORRECT	0.317
