onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
43.5	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
46.5	1.5	ANTITARG	10AV	108	2	ERROR_CORRECTED	0.333
51.0	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
54.0	1.5	ANTITARG	10AV	532	2	ERROR_CORRECTED	0.333
61.5	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
64.5	1.5	ANTITARG	10AV	214	2	ERROR_CORRECTED	0.283
69.0	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
72.0	1.5	ANTITARG	10AV	214	2	ERROR_CORRECTED	0.267
76.5	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
79.5	1.5	ANTITARG	10AV	633	2	ERROR_CORRECTED	0.367
84.0	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
87.0	1.5	ANTITARG	10AV	7	2	ERROR_CORRECTED	0.35
91.5	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
94.5	1.5	ANTITARG	10AV	633	1	CORRECT	0.417
99.0	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
102.0	1.5	ANTITARG	10AV	7	2	ERROR_CORRECTED	0.267
109.5	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
112.5	1.5	ANTITARG	10AV	108	1	CORRECT	0.6
123.0	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
126.0	1.5	ANTITARG	10AV	426	2	ERROR_CORRECTED	0.233
130.5	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
133.5	1.5	ANTITARG	10AV	426	2	ERROR_CORRECTED	0.35
138.0	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
141.0	1.5	ANTITARG	10AV	532	2	ERROR_CORRECTED	0.217
210.0	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
213.0	1.5	VGSTARG	10AV	214	1	CORRECT	0.333
217.5	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
220.5	1.5	VGSTARG	10AV	7	1	CORRECT	0.25
225.0	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
228.0	1.5	VGSTARG	10AV	108	1	CORRECT	0.383
238.5	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
241.5	1.5	VGSTARG	10AV	426	1	CORRECT	0.333
246.0	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
249.0	1.5	VGSTARG	10AV	532	1	CORRECT	0.267
256.5	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
259.5	1.5	VGSTARG	10AV	532	1	CORRECT	0.35
264.0	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
267.0	1.5	VGSTARG	10AV	633	1	CORRECT	0.433
274.5	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
277.5	1.5	VGSTARG	10AV	214	1	CORRECT	0.367
288.0	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
291.0	1.5	VGSTARG	10AV	7	1	CORRECT	0.3
298.5	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
301.5	1.5	VGSTARG	10AV	633	1	CORRECT	0.483
306.0	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
309.0	1.5	VGSTARG	10AV	426	1	CORRECT	0.317
313.5	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
316.5	1.5	VGSTARG	10AV	108	1	CORRECT	0.267
