onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
46.5	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
49.5	1.5	VGSTARG	01VA	426	1	CORRECT	0.417
54.0	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
57.0	1.5	VGSTARG	01VA	532	1	CORRECT	0.383
61.5	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
64.5	1.5	VGSTARG	01VA	214	1	CORRECT	0.35
72.0	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
75.0	1.5	VGSTARG	01VA	7	1	CORRECT	0.483
79.5	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
82.5	1.5	VGSTARG	01VA	7	1	CORRECT	0.4
87.0	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
90.0	1.5	VGSTARG	01VA	108	1	CORRECT	0.4
94.5	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
97.5	1.5	VGSTARG	01VA	214	1	CORRECT	0.35
105.0	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
108.0	1.5	VGSTARG	01VA	633	1	CORRECT	0.367
118.5	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
121.5	1.5	VGSTARG	01VA	108	1	CORRECT	0.383
126.0	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
129.0	1.5	VGSTARG	01VA	633	1	CORRECT	0.433
139.5	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
142.5	1.5	VGSTARG	01VA	426	1	CORRECT	0.45
147.0	3.0	VGSCUE	01VA	n/a	n/a	n/a	n/a
150.0	1.5	VGSTARG	01VA	532	1	CORRECT	0.417
211.5	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
214.5	1.5	ANTITARG	01VA	7	1	CORRECT	0.517
222.0	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
225.0	1.5	ANTITARG	01VA	426	-1	DROP	-0.001
229.5	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
232.5	1.5	ANTITARG	01VA	214	1	CORRECT	0.167
237.0	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
240.0	1.5	ANTITARG	01VA	633	1	CORRECT	0.667
244.5	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
247.5	1.5	ANTITARG	01VA	532	1	CORRECT	0.467
252.0	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
255.0	1.5	ANTITARG	01VA	426	2	ERROR_CORRECTED	0.383
265.5	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
268.5	1.5	ANTITARG	01VA	214	2	ERROR_CORRECTED	0.433
279.0	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
282.0	1.5	ANTITARG	01VA	633	1	CORRECT	0.517
286.5	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
289.5	1.5	ANTITARG	01VA	7	1	CORRECT	0.583
297.0	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
300.0	1.5	ANTITARG	01VA	532	1	CORRECT	0.467
304.5	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
307.5	1.5	ANTITARG	01VA	108	1	CORRECT	0.65
315.0	3.0	ANTICUE	01VA	n/a	n/a	n/a	n/a
318.0	1.5	ANTITARG	01VA	108	1	CORRECT	0.5
