onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
40.5	3.0	VGSCUE	04VA	n/a	n/a	n/a	n/a
43.5	1.5	VGSTARG	04VA	214	1	CORRECT	0.4
54.0	3.0	VGSCUE	04VA	n/a	n/a	n/a	n/a
57.0	1.5	VGSTARG	04VA	7	1	CORRECT	0.4
61.5	3.0	VGSCUE	04VA	n/a	n/a	n/a	n/a
64.5	1.5	VGSTARG	04VA	426	1	CORRECT	0.233
69.0	3.0	VGSCUE	04VA	n/a	n/a	n/a	n/a
72.0	1.5	VGSTARG	04VA	214	1	CORRECT	0.333
79.5	3.0	VGSCUE	04VA	n/a	n/a	n/a	n/a
82.5	1.5	VGSTARG	04VA	7	1	CORRECT	0.417
90.0	3.0	VGSCUE	04VA	n/a	n/a	n/a	n/a
93.0	1.5	VGSTARG	04VA	532	1	CORRECT	0.3
100.5	3.0	VGSCUE	04VA	n/a	n/a	n/a	n/a
103.5	1.5	VGSTARG	04VA	108	-1	DROP	-0.001
108.0	3.0	VGSCUE	04VA	n/a	n/a	n/a	n/a
111.0	1.5	VGSTARG	04VA	108	1	CORRECT	0.667
115.5	3.0	VGSCUE	04VA	n/a	n/a	n/a	n/a
118.5	1.5	VGSTARG	04VA	633	1	CORRECT	0.4
123.0	3.0	VGSCUE	04VA	n/a	n/a	n/a	n/a
126.0	1.5	VGSTARG	04VA	633	1	CORRECT	0.417
130.5	3.0	VGSCUE	04VA	n/a	n/a	n/a	n/a
133.5	1.5	VGSTARG	04VA	532	1	CORRECT	0.383
144.0	3.0	VGSCUE	04VA	n/a	n/a	n/a	n/a
147.0	1.5	VGSTARG	04VA	426	1	CORRECT	0.433
210.0	3.0	ANTICUE	04VA	n/a	n/a	n/a	n/a
213.0	1.5	ANTITARG	04VA	532	1	CORRECT	0.45
223.5	3.0	ANTICUE	04VA	n/a	n/a	n/a	n/a
226.5	1.5	ANTITARG	04VA	633	1	CORRECT	0.45
231.0	3.0	ANTICUE	04VA	n/a	n/a	n/a	n/a
234.0	1.5	ANTITARG	04VA	214	1	CORRECT	0.683
238.5	3.0	ANTICUE	04VA	n/a	n/a	n/a	n/a
241.5	1.5	ANTITARG	04VA	214	0	INCORRECT	0.267
246.0	3.0	ANTICUE	04VA	n/a	n/a	n/a	n/a
249.0	1.5	ANTITARG	04VA	108	1	CORRECT	0.417
256.5	3.0	ANTICUE	04VA	n/a	n/a	n/a	n/a
259.5	1.5	ANTITARG	04VA	633	-1	DROP	-0.001
264.0	3.0	ANTICUE	04VA	n/a	n/a	n/a	n/a
267.0	1.5	ANTITARG	04VA	532	0	INCORRECT	0.567
277.5	3.0	ANTICUE	04VA	n/a	n/a	n/a	n/a
280.5	1.5	ANTITARG	04VA	426	1	CORRECT	0.933
285.0	3.0	ANTICUE	04VA	n/a	n/a	n/a	n/a
288.0	1.5	ANTITARG	04VA	426	0	INCORRECT	0.383
295.5	3.0	ANTICUE	04VA	n/a	n/a	n/a	n/a
298.5	1.5	ANTITARG	04VA	7	2	ERROR_CORRECTED	0.367
303.0	3.0	ANTICUE	04VA	n/a	n/a	n/a	n/a
306.0	1.5	ANTITARG	04VA	7	2	ERROR_CORRECTED	0.533
313.5	3.0	ANTICUE	04VA	n/a	n/a	n/a	n/a
316.5	1.5	ANTITARG	04VA	108	0	INCORRECT	0.483
