onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
40.5	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
43.5	1.5	VGSTARG	08VA	426	-1	DROP	-0.001
48.0	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
51.0	1.5	VGSTARG	08VA	532	-1	DROP	-0.001
55.5	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
58.5	1.5	VGSTARG	08VA	214	-1	DROP	-0.001
63.0	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
66.0	1.5	VGSTARG	08VA	214	1	CORRECT	0.267
70.5	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
73.5	1.5	VGSTARG	08VA	7	-1	DROP	-0.001
78.0	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
81.0	1.5	VGSTARG	08VA	426	-1	DROP	-0.001
91.5	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
94.5	1.5	VGSTARG	08VA	7	-1	DROP	-0.001
99.0	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
102.0	1.5	VGSTARG	08VA	633	1	CORRECT	0.433
109.5	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
112.5	1.5	VGSTARG	08VA	108	-1	DROP	-0.001
117.0	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
120.0	1.5	VGSTARG	08VA	532	-1	DROP	-0.001
130.5	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
133.5	1.5	VGSTARG	08VA	633	-1	DROP	-0.001
141.0	3.0	VGSCUE	08VA	n/a	n/a	n/a	n/a
144.0	1.5	VGSTARG	08VA	108	-1	DROP	-0.001
214.5	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
217.5	1.5	ANTITARG	08VA	633	-1	DROP	-0.001
228.0	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
231.0	1.5	ANTITARG	08VA	633	-1	DROP	-0.001
235.5	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
238.5	1.5	ANTITARG	08VA	7	0	INCORRECT	0.15
246.0	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
249.0	1.5	ANTITARG	08VA	532	-1	DROP	-0.001
253.5	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
256.5	1.5	ANTITARG	08VA	214	-1	DROP	-0.001
261.0	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
264.0	1.5	ANTITARG	08VA	7	2	ERROR_CORRECTED	0.3
268.5	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
271.5	1.5	ANTITARG	08VA	108	1	CORRECT	0.433
276.0	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
279.0	1.5	ANTITARG	08VA	426	-1	DROP	-0.001
283.5	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
286.5	1.5	ANTITARG	08VA	108	2	ERROR_CORRECTED	0.167
294.0	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
297.0	1.5	ANTITARG	08VA	426	1	CORRECT	0.533
301.5	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
304.5	1.5	ANTITARG	08VA	532	2	ERROR_CORRECTED	0.3
315.0	3.0	ANTICUE	08VA	n/a	n/a	n/a	n/a
318.0	1.5	ANTITARG	08VA	214	-1	DROP	-0.001
