onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
43.5	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
46.5	1.5	ANTITARG	10AV	108	1	CORRECT	0.583
51.0	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
54.0	1.5	ANTITARG	10AV	532	2	ERROR_CORRECTED	0.267
61.5	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
64.5	1.5	ANTITARG	10AV	214	1	CORRECT	0.683
69.0	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
72.0	1.5	ANTITARG	10AV	214	2	ERROR_CORRECTED	0.383
76.5	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
79.5	1.5	ANTITARG	10AV	633	1	CORRECT	0.55
84.0	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
87.0	1.5	ANTITARG	10AV	7	1	CORRECT	0.567
91.5	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
94.5	1.5	ANTITARG	10AV	633	1	CORRECT	0.55
99.0	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
102.0	1.5	ANTITARG	10AV	7	1	CORRECT	0.7
109.5	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
112.5	1.5	ANTITARG	10AV	108	2	ERROR_CORRECTED	0.35
123.0	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
126.0	1.5	ANTITARG	10AV	426	1	CORRECT	0.55
130.5	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
133.5	1.5	ANTITARG	10AV	426	1	CORRECT	0.55
138.0	3.0	ANTICUE	10AV	n/a	n/a	n/a	n/a
141.0	1.5	ANTITARG	10AV	532	1	CORRECT	0.467
210.0	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
213.0	1.5	VGSTARG	10AV	214	1	CORRECT	0.483
217.5	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
220.5	1.5	VGSTARG	10AV	7	-1	DROP	-0.001
225.0	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
228.0	1.5	VGSTARG	10AV	108	1	CORRECT	0.383
238.5	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
241.5	1.5	VGSTARG	10AV	426	1	CORRECT	0.383
246.0	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
249.0	1.5	VGSTARG	10AV	532	1	CORRECT	0.35
256.5	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
259.5	1.5	VGSTARG	10AV	532	1	CORRECT	0.367
264.0	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
267.0	1.5	VGSTARG	10AV	633	1	CORRECT	0.533
274.5	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
277.5	1.5	VGSTARG	10AV	214	1	CORRECT	0.433
288.0	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
291.0	1.5	VGSTARG	10AV	7	1	CORRECT	0.5
298.5	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
301.5	1.5	VGSTARG	10AV	633	1	CORRECT	0.483
306.0	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
309.0	1.5	VGSTARG	10AV	426	1	CORRECT	0.383
313.5	3.0	VGSCUE	10AV	n/a	n/a	n/a	n/a
316.5	1.5	VGSTARG	10AV	108	1	CORRECT	0.35
