onset	duration	trial_type	run_type	cue_position	score	score_txt	latency
48.0	3.0	ANTICUE	11AV	n/a	n/a	n/a	n/a
51.0	1.5	ANTITARG	11AV	108	1	CORRECT	0.417
55.5	3.0	ANTICUE	11AV	n/a	n/a	n/a	n/a
58.5	1.5	ANTITARG	11AV	532	1	CORRECT	0.433
63.0	3.0	ANTICUE	11AV	n/a	n/a	n/a	n/a
66.0	1.5	ANTITARG	11AV	7	1	CORRECT	0.45
70.5	3.0	ANTICUE	11AV	n/a	n/a	n/a	n/a
73.5	1.5	ANTITARG	11AV	426	1	CORRECT	0.45
81.0	3.0	ANTICUE	11AV	n/a	n/a	n/a	n/a
84.0	1.5	ANTITARG	11AV	108	1	CORRECT	0.517
88.5	3.0	ANTICUE	11AV	n/a	n/a	n/a	n/a
91.5	1.5	ANTITARG	11AV	214	1	CORRECT	0.433
96.0	3.0	ANTICUE	11AV	n/a	n/a	n/a	n/a
99.0	1.5	ANTITARG	11AV	426	1	CORRECT	0.467
106.5	3.0	ANTICUE	11AV	n/a	n/a	n/a	n/a
109.5	1.5	ANTITARG	11AV	7	1	CORRECT	0.483
114.0	3.0	ANTICUE	11AV	n/a	n/a	n/a	n/a
117.0	1.5	ANTITARG	11AV	532	1	CORRECT	0.517
121.5	3.0	ANTICUE	11AV	n/a	n/a	n/a	n/a
124.5	1.5	ANTITARG	11AV	633	2	ERROR_CORRECTED	0.45
132.0	3.0	ANTICUE	11AV	n/a	n/a	n/a	n/a
135.0	1.5	ANTITARG	11AV	633	-1	DROP	-0.001
139.5	3.0	ANTICUE	11AV	n/a	n/a	n/a	n/a
142.5	1.5	ANTITARG	11AV	214	1	CORRECT	0.483
216.0	3.0	VGSCUE	11AV	n/a	n/a	n/a	n/a
219.0	1.5	VGSTARG	11AV	633	1	CORRECT	0.367
226.5	3.0	VGSCUE	11AV	n/a	n/a	n/a	n/a
229.5	1.5	VGSTARG	11AV	108	1	CORRECT	0.383
234.0	3.0	VGSCUE	11AV	n/a	n/a	n/a	n/a
237.0	1.5	VGSTARG	11AV	426	1	CORRECT	0.383
241.5	3.0	VGSCUE	11AV	n/a	n/a	n/a	n/a
244.5	1.5	VGSTARG	11AV	7	1	CORRECT	0.383
252.0	3.0	VGSCUE	11AV	n/a	n/a	n/a	n/a
255.0	1.5	VGSTARG	11AV	426	1	CORRECT	0.35
265.5	3.0	VGSCUE	11AV	n/a	n/a	n/a	n/a
268.5	1.5	VGSTARG	11AV	532	1	CORRECT	0.35
273.0	3.0	VGSCUE	11AV	n/a	n/a	n/a	n/a
276.0	1.5	VGSTARG	11AV	532	1	CORRECT	0.383
286.5	3.0	VGSCUE	11AV	n/a	n/a	n/a	n/a
289.5	1.5	VGSTARG	11AV	214	1	CORRECT	0.4
294.0	3.0	VGSCUE	11AV	n/a	n/a	n/a	n/a
297.0	1.5	VGSTARG	11AV	633	1	CORRECT	0.383
301.5	3.0	VGSCUE	11AV	n/a	n/a	n/a	n/a
304.5	1.5	VGSTARG	11AV	214	1	CORRECT	0.367
309.0	3.0	VGSCUE	11AV	n/a	n/a	n/a	n/a
312.0	1.5	VGSTARG	11AV	7	1	CORRECT	0.4
319.5	3.0	VGSCUE	11AV	n/a	n/a	n/a	n/a
322.5	1.5	VGSTARG	11AV	108	1	CORRECT	0.317
